[179] CTETFParticleEffect
[178] CTETFExplosion
[177] CTETFBlood
[316] CTFTankBoss
[183] CTFBaseBoss
[0] CBossAlpha
[354] CZombie
[83] CMerasmusDancer
[82] CMerasmus
[73] CHeadlessHatman
[48] CEyeballBoss
[335] CTFWeaponSapper
[326] CTFWeaponBuilder
[0] C_TFWeaponBuilder
[318] CTFTeam
[317] CTFTauntProp
[264] CTFProjectile_Rocket
[257] CTFProjectile_Flare
[255] CTFProjectile_EnergyBall
[258] CTFProjectile_GrapplingHook
[259] CTFProjectile_HealingBolt
[252] CTFProjectile_Arrow
[249] CTFPlayerResource
[247] CTFPlayer
[283] CTFRagdoll
[165] CTEPlayerAnimEvent
[240] CTFPasstimeLogic
[93] CPasstimeBall
[235] CTFObjectiveResource
[214] CTFGlow
[152] CTEFireBullets
[0] CTFBuffBanner
[181] CTFAmmoPack
[89] CObjectTeleporter
[88] CObjectSentrygun
[265] CTFProjectile_SentryRocket
[87] CObjectSapper
[85] CObjectCartDispenser
[86] CObjectDispenser
[84] CMonsterResource
[64] CFuncRespawnRoomVisualizer
[63] CFuncRespawnRoom
[61] CFuncPasstimeGoal
[57] CFuncForceField
[28] CCaptureZone
[31] CCurrencyPack
[10] CBaseObject
[191] CTFBotHintEngineerNest
[0] CBotNPCMinion
[0] CBotNPC
[111] CRagdollPropAttached
[110] CRagdollProp
[357] NextBotCombatCharacter
[347] CWaterBullet
[59] CFuncMonitor
[353] CWorld
[348] CWaterLODControl
[345] CVGuiScreen
[0] CPropJeep
[0] CPropVehicleChoreoGeneric
[180] CTEWorldDecal
[174] CTESpriteSpray
[173] CTESprite
[172] CTESparks
[171] CTESmoke
[169] CTEShowLine
[167] CTEProjectedDecal
[166] CTEPlayerDecal
[164] CTEPhysicsProp
[163] CTEParticleSystem
[162] CTEMuzzleFlash
[159] CTELargeFunnel
[158] CTEKillPlayerAttachments
[157] CTEImpact
[156] CTEGlowSprite
[168] CTEShatterSurface
[154] CTEFootprintDecal
[153] CTEFizz
[151] CTEExplosion
[150] CTEEnergySplash
[149] CTEEffectDispatch
[148] CTEDynamicLight
[146] CTEDecal
[145] CTEClientProjectile
[144] CTEBubbleTrail
[143] CTEBubbles
[142] CTEBSPDecal
[141] CTEBreakModel
[140] CTEBloodStream
[139] CTEBloodSprite
[138] CTEBeamSpline
[137] CTEBeamRingPoint
[136] CTEBeamRing
[135] CTEBeamPoints
[134] CTEBeamLaser
[133] CTEBeamFollow
[132] CTEBeamEnts
[131] CTEBeamEntPoint
[130] CTEBaseBeam
[129] CTEArmorRicochet
[161] CTEMetalSparks
[175] CTest_ProxyToggle_Networkable
[176] CTestTraceline
[170] CTesla
[128] CTeamTrainWatcher
[16] CBaseTeamObjectiveResource
[125] CTeam
[124] CSun
[123] CSteamJet
[91] CParticlePerformanceMonitor
[119] CSpotlightEnd
[355] DustTrail
[50] CFireTrail
[362] SporeTrail
[361] SporeExplosion
[359] RocketTrail
[360] SmokeTrail
[117] CSmokeStack
[116] CSlideshowDisplay
[115] CShadowControl
[114] CSceneEntity
[113] CRopeKeyframe
[109] CRagdollManager
[108] CPropVehicleDriveable
[98] CPhysicsPropMultiplayer
[96] CPhysBoxMultiplayer
[15] CBasePropDoor
[33] CDynamicProp
[105] CPointWorldText
[104] CPointCommentaryNode
[103] CPointCamera
